courseName	universityName	facultyName	isItFullTime	description	startDate	fees	modality	duration	city	country	administration	url
Brain Sciences - MSc	University of Glasgow	College of Medical, Veterinary & Life Sciences	Full time	Watch our latest Ask your academic webinar to find out more about this programme.﻿The aim of this programme is to help you gain interdisciplinary knowledge “from molecules to mind” and develop research skills in cognitive brain imaging, fundamental neuroscience and brain disorders.﻿Over the last two decades there has been an explosion of interest in brain science across academia, industry and the media. The integration of cognitive brain imaging with neuroscience plays a central part in discovering how the brain functions in health and disease in the 21st century, as illustrated by the Human Brain Project in Europe and The Brain Initiative in the USA.	September	Please see the university website for further information on fees for this course.		1 year full-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/brain-sciences-msc/?i307d4814c22431
Business Analytics (full-time, on campus) - MSc	Imperial College London	Imperial College Business School	Full time	With the emergence of new technologies such as AI and machine learning, the ability to analyse and interpret complex data sets is crucial for future business leaders. Our MSc in Business Analytics will equip you with the skills you need to succeed in an increasingly data-driven world. You will develop in-depth knowledge of both predictive and prescriptive analysis while also being exposed to many real-world business applications, and learn how to harness ‘big data’ to improve business performance.	September	Please see the university website for further information on fees for this course.		1 year full-time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-full-time-on-campus-msc/?i112d3962c34797
Business Analytics (part-time, online) - MSc	Imperial College London	Imperial College Business School	Part time	The ability to analyse complex data is becoming increasingly essential for success in business. Our online MSc Business Analytics will develop your understanding of business analytics, data, and artificial intelligence and how this can transform business and society. The programme is designed for those who want to upskill and apply their learning in their current organisation or pivot into a new role involving data or analytics consulting.	September	Please see the university website for further information on fees for this course.		24-36 months	London	United Kingdom		https://www.findamasters.com/masters-degrees/course/business-analytics-part-time-online-msc/?i112d3962c72183
Business Analytics, online MSc	University of Bath	University of Bath Online	Full time	Gain a competitive edge in your career by developing the business management and technical data analysis skills needed to drive strategic results for your company with the University of Bath’sonline MSc Business Analyticscourse.Delivered by the EQUIS- and AMBA-accredited Bath School of Management, this course provides access to training and industry experts that are invaluable for students’ hands-on data management, data mining, and data analysis preparation. This includes access to cutting-edge software and analytical tools through the University of Bath’s partnership with IBM.Find out	September, January	Cost per 10 credits £833** (10% alumni discount). Fees are paid per unit. The MSc totals 180 credits. Valid up to and including September 2023 intake. Tuition fees are liable to increase each January. You should budget for an increase of up to a maximum of 5% each year.  *Based on undergraduate data		2 years and 3 months full time	Bath	United Kingdom		https://www.findamasters.com/masters-degrees/course/business-analytics-online-msc/?i280d8352c59504
Business and Management MSc (Online)	Northumbria University	Distance Learning		From Digital Entrepreneurship to Business Analytics, Globalisation Innovation and Sustainability to Strategic Marketing, you will study a wide range of topics that will prepare you to confront the business challenges of the future and give you a commercial edge. You’ll also explore the ethical and cultural contexts in which international businesses operate and hone your practical managerial skills.	October, January	Academic year 2022/2023: £9,075 for UK, EU and international students.  You will be able to spread the cost of your fees over the duration of your course, paying on a module-by-module basis.  Please note, fees are reviewed regularly and may be subject to change.		See programme description	Newcastle	United Kingdom		https://www.findamasters.com/masters-degrees/course/business-and-management-msc-online/?i180d8375c66140
Business in Technology MSc	Ulster University	Ulster Online	Part time	Our 100% onlineBusiness in Technology programmeis a uniqueMBA-style Mastersdesigned to equip you with the specialist management skills needed to become an effective leader across a range of tech-led industries.Study part-time and work towards a qualification that aligns with your professional and personal goals, at a pace that suits you.The programme can be split into three pathways, allowing you to graduate sooner with aPG Cert(8 months minimum),PG Dip(16 months) or continue to gaina full Masters qualification in two years part-time.	September, November	Please see the university website for further information on fees for this course.		2-4 years	Coleraine	United Kingdom		https://www.findamasters.com/masters-degrees/course/business-in-technology-msc/?i364d8644c68504
Cardiovascular Research MSc	King’s College London	Faculty of Life Sciences & Medicine	Full time	The Cardiovascular Research MSc offers an advanced theoretical and practical foundation in cardiovascular research. You will be taught by academic and clinical specialists who actively research the mechanisms that underlie human cardiovascular disease.This course is designed for biomedical science and medically qualified graduates who wish to pursue further academic studies or employment in a research	September	Please see the university website for further information on fees for this course.		One year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/cardiovascular-research-msc/?i132d4846c17710
Cardiovascular Sciences - MSc(MedSci)	University of Glasgow	College of Medical, Veterinary & Life Sciences	Full time	Cardiovascular disease is projected to remain the single leading cause of death over the next two decades, accountable for considerable disability and reduction in quality of life.The aim of this programme is to deliver teaching related to cardiovascular science and biology with an emphasis on the epidemiology, genetics, pathological and molecular mechanisms underlying cardiovascular diseases and their pharmacological management.The University of Glasgow has a world-renowned reputation for expertise in cardiovascular research and education.	September	Please see the university website for further information on fees for this course.		1 year full-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/cardiovascular-sciences-msc-medsci/?i307d4814c14387
Care of the Older Person - MSc	Learna | Diploma MSc	Diploma MSc Medical Programmes	Part time	Our flexible, value for money MSc geriatric medicine distance learning course offers healthcare professionals, from a range of settings, the opportunity to gain knowledge, skills and confidence in dealing with the complex health and social needs of the ageing population.This part-time master's degree in geriatrics provides high quality integrated and multidisciplinary education in the field of ageing, health and disease.Since the course is conducted entirely online following a distance learning format, we were able to selected top industry experts from across the globe to support and guide students throughout the course duration.	September, March	£4,980 (1 year) £8,880 (2 years)		2 years	Cardiff	United Kingdom		https://www.findamasters.com/masters-degrees/course/care-of-the-older-person-msc/?i1705d6873c57069
Chemical Engineering MSc	University of Groningen	Science and Engineering	Full time	How can you increase the sustainability of a chemical process? How can you make useful products from biomass waste?How can you design a catalyst to convert the greenhouse gas CO2 into a biodegradable polymer? How can you use electricity to generate hydrogen from water? How can you recycle used car tyres into a waterproof rubber coating? How can you develop a new polymer that helps oil recovery from underground reservoirs?These are some of the interesting questions you will be able to answer once you have completed the Master's degree programme in Chemical Engineering in Groningen. The two-year programme offers a core programme and then the choice between four specialisations: Advanced Process Technology, Bio-based Products, Industrial Catalysis and Polymeric Products.	September, February	Please see the university website for further information on fees for this course.		2 years full time	Groningen	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/chemical-engineering-msc/?i1114d7105c37549
Chemistry - MSc	University of Glasgow	College of Science and Engineering	Full time	The Masters in Chemistry will extend your depth and breadth of knowledge in all branches of chemistry, suitable for a professional chemist capable of conducting	September	Please see the university website for further information on fees for this course.		1 year full-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/chemistry-msc/?i307d4813c21344
Chemistry - MSc	University of Leeds	School of Chemistry	Full time	At its most fundamental, chemistry is the ‘art’ of transforming one molecule into another. Our highly versatile Chemistry MSc course has been designed to allow you to direct your studies to specialised areas of chemistry. The course places strong emphasis on practical chemistry, complemented with focus on current topics in chemistry research. This enables the principles and theories of chemistry to be applied within a laboratory setting to solve real-world	September	UK: £13,500 (Total) International: £31,000 (Total)		1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/chemistry-msc/?i321d1001c52482
